FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SUPPORTING UNIT OR BASE;;;1A;UNIT;UNIT;1022/57;1-30;M
;SUPPORTING UNIT OR BASE;;;1B;BASE NAME;BASE;1022/104;;
;SUPPORTING UNIT OR BASE;;;1C;ICAO BASE CODE;ICAO;1125/2;;
2;IFF/SIF MODE AND CODE OR CONDITION;;;2A;IFF/SIF MODE AND CODE;;2083;4-27;M*
;IFF/SIF MODE AND CODE OR CONDITION;;;2B;IFF/SIF MODE AND CONDITION;;2084;;
