FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ATTACK HEADING;;;1A;HEADING, DEGREES MAGNETIC;;2186;4-4;M
;ATTACK HEADING;;;1B;HEADING, DEGREES TRUE;;2255;;
