FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET KEY;;;1A;TARGET KEY;;2584;12-12;M
2;TARGET NAME;;;2A;TARGET NAME;;1022/97;1-54;M
3;REMARKS;;;3A;REMARKS;;1357/28;1-68;O
