FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MESSAGE PART IDENTIFIER;;;1A;MESSAGE PART IDENTIFIER;;1102/2;1-2;M
2;MESSAGE PART DENOMINATION;;;2A;MESSAGE PART DENOMINATION;;1081/1;1-10;O
3;SECURITY CLASSIFICATION, ABBREVIATED;;;3A;SECURITY CLASSIFICATION, ABBREVIATED;;1288/1;1-6;O
4;PART TITLE;;;4A;PART TITLE;;1356/2;1-30;O
5;SPECIAL HANDLING DESIGNATOR;;;5A;SPECIAL HANDLING DESIGNATOR;;1101/1;4-15;O
