FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ROUTE SECTION ALPHABETIC IDENTIFIER;;;1A;ROUTE SECTION ALPHABETIC IDENTIFIER;;1246/64;1-1;M
2;SPEED OF ADVANCE IN KNOTS;;;2A;SPEED OF ADVANCE IN KNOTS;;1061/9;1-6;M
3;RECTANGULAR MOVING HAVEN DIMENSIONS, NM;;;3A;RECTANGULAR MOVING HAVEN DIMENSIONS, NM;;2214;5-10;O
4;MERCO TRACK/ROUTE TYPE;;;4A;MERCO TRACK ROUTE TYPE;;1372/4;5-8;O
