FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;APPROACH DIRECTION IN DEGREES MAGNETIC;;;1A;APPROACH DIRECTION IN DEGREES MAGNETIC;;1804/2;3-3;M
2;APPROACH ANGLE;;;2A;GRADIENT OF APPROACH;GRD;1789/2;1-2;M
;APPROACH ANGLE;;;2B;APPROACH ANGLE IN DEGREES;DEG;1043/24;;
3;EXIT DIRECTION IN DEGREES MAGNETIC;;;3A;EXIT DIRECTION IN DEGREES MAGNETIC;;1804/3;3-3;M
4;EXIT ANGLE;;;4A;GRADIENT OF EXIT;GRD;1789/3;1-2;M
;EXIT ANGLE;;;4B;EXIT ANGLE IN DEGREES;DEG;1043/25;;
