FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LENGTH IN METRES;;;1A;LENGTH IN METRES;;1657/1;1-5;M
2;WIDTH IN METRES, 1-999;;;2A;WIDTH IN METRES, 1-999;;1658/18;1-3;M
3;HEIGHT IN METRES, 0-99.9;;;3A;HEIGHT IN METRES, 0-99.9 DECIMAL PERMITTED;HTCLR;1651/11;1-4;M
4;CROSS SECTION DESCRIPTION;;;4A;CROSS SECTION DESCRIPTION;;1259/3;2-2;M
5;CONSTRUCTION MATERIAL;;;5A;CONSTRUCTION MATERIAL;;1592/5;2-2;M
6;MINIMUM HORIZONTAL CURVE RADIUS IN METRES;;;6A;MINIMUM HORIZONTAL CURVE RADIUS IN METRES;;1580/5;1-5;O
7;MAXIMUM VERTICAL GRADIENT;;;7A;MAXIMUM VERTICAL GRADIENT;;1064/36;1-4;O
