FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LENGTH IN METRES, 1-999;;;1A;LENGTH IN METRES, 1-999;;1657/14;1-3;M
2;WIDTH IN METRES, 1-999;;;2A;WIDTH IN METRES, 1-999;;1658/18;1-3;M
3;HEIGHT IN METRES, 0-999;;;3A;HEIGHT IN METRES, 0-999;;1651/6;1-3;M
