FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SATELLITE SYSTEM NAME OR DESIGNATOR;;;1A;SATELLITE SYSTEM NAME OR DESIGNATOR;;1022/63;1-20;M
2;START TIME OF SATELLITE VULNERABILITY;;;2A;DTG OF START;;2033;14-14;M*
3;STOP TIME OF SATELLITE VULNERABILITY;;;3A;DTG OF STOP;;2033;14-14;M*
