FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MARITIME EQUIPMENT;;;1A;MARITIME EQUIPMENT;;1135/44;1-20;M
2;MARITIME EQUIPMENT FREQUENCY RANGE;;;2A;MARITIME EQUIPMENT FREQUENCY RANGE;;2360;7-29;M
