FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BEARING ORIGIN;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;BEGINNING RADIAL BEARING, DEGREES TRUE;;;2A;BEGINNING RADIAL BEARING, DEGREES TRUE;;2253;4-4;M
3;ENDING RADIAL BEARING, DEGREES TRUE;;;3A;ENDING RADIAL BEARING, DEGREES TRUE;;2253;4-4;M
4;INNER RADIUS, M, KM, NM;;;4A;INNER RADIUS, M, KM, NM;;2118;2-7;M
5;OUTER RADIUS, M, KM, NM;;;5A;OUTER RADIUS, M, KM, NM;;2118;2-7;M
