FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ANTENNA TYPE;;;1A;ANTENNA TYPE;;1434/10;1-68;M
2;ANTENNA DIMENSION;;;2A;DIAMETER IN METRES, CENTIMETRES, OR MILLIMETRES;DIA;2115;2-8;M
;ANTENNA DIMENSION;;;2B;LENGTH, FEET OR METRES, DECIMAL PERMITTED;LENGTH;2266;;
