FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER, 1-9;;;1A;NUMBER, 1-9;;1044/318;1-1;M
2;LANE WIDTH IN METRES;;;2A;LANE WIDTH IN METRES;;1658/16;1-4;M
