FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER, 0-99;;;1A;NUMBER, 0-99;;1044/354;1-2;M
2;AVERAGE DIAMETER IN METRES;;;2A;AVERAGE DIAMETER IN METRES;;1679/2;1-3;M
3;AVERAGE DEPTH IN METRES;;;3A;AVERAGE DEPTH IN METRES;;1247/8;1-3;M
