FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DIRECTION OF WIND, DEGREES MAGNETIC;;;1A;DIRECTION OF WIND, DEGREES MAGNETIC;;1804/5;3-3;M
2;TRUE WIND SPEED IN KNOTS;;;2A;TRUE WIND SPEED IN KNOTS;;1061/18;2-2;M
3;SURFACE VISIBILITY (M, KM, NM);;;3A;SURFACE VISIBILITY (M, KM, NM);;2271;2-7;M
4;TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;;4A;TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;2131;2-6;M
5;CLOUD COVER;;;5A;CLOUD COVER;;1387/1;1-1;M
6;LOW CLOUD BASE HEIGHT IN FEET OR METRES;;;6A;LOW CLOUD BASE HEIGHT IN FEET OR METRES;;2553;2-6;C
