FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FIRST POINT;;;1A;UNIVERSAL TRANSVERSE MERCATOR (UTM);;2572;16-16;M
2;SECOND POINT;;;2A;UNIVERSAL TRANSVERSE MERCATOR (UTM);;2572;16-16;M
3;SEARCH ZONE WIDTH IN METRES, 10-9999;;;3A;SEARCH ZONE WIDTH IN METRES, 10-9999;;1658/13;2-4;M
