FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ENGINE TYPE, ANALYST'S DESCRIPTION;;;1A;ENGINE TYPE, ANALYSTS DESCRIPTION;;1862/10;1-68;M
2;NUMBER OF ENGINES;;;2A;NUMBER OF ENGINES;;1044/216;1-3;M
3;ENGINE CONDITION;;;3A;ENGINE CONDITION;;1690/5;1-3;M
4;AIRCRAFT INTAKE TYPE;;;4A;AIRCRAFT INTAKE TYPE;;1774/2;1-68;M
