FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LENGTH IN METRES;;;1A;LENGTH IN METRES;;1657/1;1-5;O
2;WIDTH IN METRES;;;2A;WIDTH IN METRES;;1658/1;1-5;O
3;SHIP DRAFT IN METRES;;;3A;SHIP DRAFT IN METRES;;1247/5;1-2;O
4;GROSS TONNAGE;;;4A;GROSS TONNAGE;;1904/1;1-6;O
5;MAXIMUM SPEED IN KNOTS;;;5A;MAXIMUM SPEED IN KNOTS;;1061/6;1-2;O
6;MINIMUM SPEED IN KNOTS;;;6A;MINIMUM SPEED IN KNOTS;;1061/5;1-2;O
7;OPERATIONAL SPEED IN KNOTS;;;7A;OPERATIONAL SPEED IN KNOTS;;1061/19;1-2;M
8;SHIP'S ENDURANCE IN NAUTICAL MILES AT THE OPERATIONAL SPEED;;;8A;SHIPS ENDURANCE IN NAUTICAL MILES AT THE OPERATIONAL SPEED;;1089/10;1-7;O
