FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CROSSING TYPE;;;1A;CROSSING TYPE;;1706/2;2-2;M
2;CROSSING POTENTIAL;;;2A;CROSSING POTENTIAL;;1662/7;2-2;M
