FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ARTILLERY FUZE TYPE;;;1A;ARTILLERY FUZE TYPE;;1192/3;2-3;M*
2;NUMBER OF FUZES;;;2A;NUMBER OF FUZES;;1044/274;1-4;M*
