FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DOWNWIND DIRECTION;;;1A;DOWNWIND DIRECTION IN DEGREES;;1043/2;3-4;M
;DOWNWIND DIRECTION;;;1B;DOWNWIND DIRECTION IN MILS;;1048/4;;
2;WIND SPEED;;;2A;WIND SPEED;;1525/2;3-3;M
3;AIR STABILITY CATEGORY;;;3A;DETAILED AIR STABILITY CATEGORY;;1313/1;1-1;M
;AIR STABILITY CATEGORY;;;3B;SIMPLIFIED AIR STABILITY CATEGORY;;1126/1;;
4;SURFACE AIR TEMPERATURE, UNSPECIFIED UNIT OF MEASURE;;;4A;SURFACE AIR TEMPERATURE, UNSPECIFIED UNIT OF MEASURE;;1314/2;3-3;M
5;RELATIVE HUMIDITY RANGE;;;5A;RELATIVE HUMIDITY RANGE;;1315/1;1-1;M
6;SIGNIFICANT WEATHER PHENOMENA;;;6A;SIGNIFICANT WEATHER PHENOMENA;;1386/6;1-1;M
7;CLOUD COVERAGE;;;7A;CLOUD COVERAGE;;1328/1;1-1;M
