FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINK CIRCUIT FUNCTION;;;1A;LINK CIRCUIT FUNCTION;;1630/1;4-11;M
2;FREQUENCY/UNIT DESIGNATOR;;;2A;FREQUENCY DESIGNATOR;FD;1396/1;1-8;M
;FREQUENCY/UNIT DESIGNATOR;;;2B;CONTROL UNIT DESIGNATOR;CU;1028/37;;
3;ASSIGNED RADIO FREQUENCY;;;3A;ASSIGNED RADIO FREQUENCY;ASGN;2064;3-14;M
4;CODEWORD;;;4A;CODEWORD;;1020/8;1-15;O
5;COMMUNICATION PRIORITY;;;5A;COMMUNICATION PRIORITY;;1124/2;1-1;O
6;DATA LINK EMISSION DESIGNATOR;;;6A;DATA LINK EMISSION DESIGNATOR;;1515/16;3-3;O
7;FREQUENCY USAGE INDICATOR;;;7A;FREQUENCY USAGE INDICATOR;;1631/1;1-1;O
