FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TGT TYPE AND SUBTYPE;;;1A;ARTILLERY TARGET TYPE AND SUBTYPE;;1650/3;6-13;M
;TGT TYPE AND SUBTYPE;;;1B;COMBAT ENGINEER TARGET TYPE AND SUBTYPE;;1650/4;;
2;DEGREE OF PROTECTION;;;2A;DEGREE OF PROTECTION;;1424/1;4-6;C
