FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATE-TIME GROUP FROM;;;1A;DTG FROM, ZULU;;2323;14-14;M
2;DATE-TIME GROUP TO;;;2A;DTG TO, ZULU;;2323;14-14;M
