FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ENVIRONMENTAL PREDICTION SYSTEM PRODUCT;;;1A;ENVIRONMENTAL PREDICTION SYSTEM PRODUCT;;1511/1;4-6;M
2;DAY-TIME AND MONTH OF START;;;2A;DAY-TIME AND MONTH OF START;;2030;10-10;M
3;DAY-TIME AND MONTH OF STOP;;;3A;DAY-TIME AND MONTH OF STOP;;2030;10-10;M
