FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;STRIKE CAPABILITY;;;1A;WARFARE DISCIPLINE CAPABILITY;;1114/5;1-2;M
2;SUBMARINE STRIKE READINESS;;;2A;SUBMARINE WARFARE READINESS;;1230/2;1-1;C
3;SUBMARINE STRIKE CREW CAPABILITY;;;3A;CREW PROFICIENCY;;1806/2;1-1;C
4;STRIKE ENABLERS;;;4A;SUBMARINE STRIKE ENABLER;;1114/8;4-6;C*
