FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF OBSERVATION, ZULU;;;1A;DTG OF OBSERVATION, ZULU;;2323;14-14;M
2;EFFECTIVE DTG VALID FROM, ZULU;;;2A;EFFECTIVE DTG VALID FROM, ZULU;;2323;14-14;M
3;EFFECTIVE DTG VALID TO, ZULU;;;3A;EFFECTIVE DTG VALID TO, ZULU;;2323;14-14;M
