FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINK MANAGEMENT CODEWORD;;;1A;ADDITIONAL LINK MANAGEMENT CODE;;1864/2;1-15;M
2;LINK MANAGEMENT CODEWORD MEANING;;;2A;CODE MEANING;;1864/3;1-50;M
