FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;EFFECTIVE WIND SPEED AND UNIT OF MEASUREMENT;;;1A;EFFECTIVE WIND SPEED AND UNIT OF MEASUREMENT;;2318;6-6;M
2;DOWNWIND DISTANCE OF ZONE 1 AND UNIT OF MEASURE;;;2A;DOWNWIND DISTANCE OF ZONE 1 AND UNIT OF MEASURE;;2320;4-5;M
3;CLOUD RADIUS AND UNIT OF MEASUREMENT;;;3A;CLOUD RADIUS AND UNIT OF MEASUREMENT;;2316;3-4;M
4;LEFT RADIAL LINE DIRECTION;;;4A;LEFT RADIAL LINE IN DEGREES;LEFT;2321;6-7;M
;LEFT RADIAL LINE DIRECTION;;;4B;LEFT RADIAL LINE IN MILS;LEFTM;2322;;
5;RIGHT RADIAL LINE DIRECTION;;;5A;RIGHT RADIAL LINE IN DEGREES;RIGHT;2321;6-7;M
;RIGHT RADIAL LINE DIRECTION;;;5B;RIGHT RADIAL LINE IN MILS;RIGHTM;2322;;
