FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FORD CAPABILITY;;;1A;FORD CAPABILITY;;1666/8;3-6;M
2;LENGTH OF FORDING SITE;;;2A;LENGTH OF FORDING SITE;;2454;2-7;M
3;WIDTH OF FORDING SITE;;;3A;WIDTH OF FORDING SITE;;2451;2-7;M
4;EARTH COMPOSITION TYPE;;;4A;EARTH COMPOSITION TYPE;;1289/7;3-8;M
5;DEPTH OF WATER AT FORDING SITE;;;5A;DEPTH OF WATER AT FORDING SITE;;2264;2-7;M*
6;WATER SPEED;;;6A;WATER SPEED;;2559;4-7;M*
7;DAY-TIME AND MONTH OF OBSERVATION;;;7A;DAY-TIME AND MONTH OF OBSERVATION;;2030;10-10;M*
