FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CREW NUMBER;;;1A;CREW NUMBER;;1012/83;1-2;M
2;AEW CREW DATA;;;2A;AEW CREW DATA;;2048;8-36;M*
