FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ORIENTATION, INTERCARDINAL;;;1A;ORIENTATION, INTERCARDINAL;;1161/9;1-2;M
2;WIDTH OF LANE;;;2A;WIDTH OF LANE;;2451;2-7;M
3;GRADIENT;;;3A;GRADIENT;GRD;1789/1;1-2;M
4;EARTH COMPOSITION TYPE;;;4A;EARTH COMPOSITION TYPE;;1289/7;3-8;M
