FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ZIPPO REACTION CODE;;;1A;ZIPPO REACTION CODE;;1257/2;1-3;M
2;ZIPPO REACTION;;;2A;ZIPPO REACTION;;1257/1;1-68;M
