FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ICAO BASE CODE;;;1A;ICAO BASE CODE;;1125/2;4-4;M
2;AIRCRAFT IDENTIFICATION NUMBER;;;2A;AIRCRAFT IDENTIFICATION NUMBER;;1012/84;1-10;M
3;REPAIR TIME;;;3A;ESTIMATED TIME TO REPAIR IN HOURS;TIME;1047/21;2-3;M
;REPAIR TIME;;;3B;ESTIMATED TIME TO REPAIR AFTER RECEIPT OF PARTS IN HOURS;PRTPLUS;1047/22;;
;REPAIR TIME;;;3C;UNKNOWN TIME;;1220/14;;
4;FLIGHT STATUS;;;4A;FLIGHT STATUS;;1573/1;5-6;M
