FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF STRIKE, ZULU;;;1A;DTG OF STRIKE, ZULU;;2323;14-14;M
2;DTG STRIKE CANCELLED, ZULU;;;2A;DTG STRIKE CANCELLED, ZULU;;2323;14-14;M
