FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATE OF REFERENCE, DDMMMYYYY;;;1A;DATE OF REFERENCE, DDMMMYYYY;;2001;9-9;M
2;CURRENT CRYPTO PERIOD DESIGNATOR (CCPD);;;2A;CURRENT CRYPTO PERIOD DESIGNATOR (CCPD);;1593/29;1-1;M
