FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;HOSTILE BATTERY LOCATION;;;1A;UNIVERSAL TRANSVERSE MERCATOR (UTM);;2572;16-16;M
2;ALTITUDE IN METRES;;;2A;ALTITUDE IN METRES;;1186/1;1-5;M
