FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TREND;;;1A;TREND;;1324/1;4-4;M
2;PRESENTATION METHOD;;;2A;PRESENTATION METHOD;;1051/1;4-8;M
3;THEME;;;3A;THEME;;1299/7;1-20;M
4;UNIT IDENTIFICATION CODE (UIC);;;4A;UNIT IDENTIFICATION CODE (UIC);;2141;7-9;M
