FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;WEAPON SYSTEM ASUW;;;1A;WEAPON SYSTEM ASUW;;1407/21;3-7;M*
2;WEAPON TYPE, GENERIC;;;2A;MARITIME WEAPON SYSTEMS;;1407/54;1-30;M*
;WEAPON TYPE, GENERIC;;;2B;WEAPON TYPE, GENERIC;GEN;1407/1;;
3;LAUNCH MODE;;;3A;LAUNCH MODE;;1639/1;1-30;M*
4;SEEKER PATTERN;;;4A;SEEKER PATTERN;;1640/1;1-30;O*
