FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER OF VOLLEYS/ROCKETS;;;1A;NUMBER OF VOLLEYS ROCKETS;;1044/255;1-2;C*
2;FIRE FOR EFFECT PROJECTILE;;;2A;FIRE FOR EFFECT PROJECTILE;;1560/5;3-3;O*
3;FIRE FOR EFFECT FUZE;;;3A;FIRE FOR EFFECT FUZE;;1192/6;2-3;O*
