FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;VERTICAL DIMEMSION;;;1A;VERTICAL DIMENSION, BASE REF POINT TO RELATIVE ALTITUDE;BRRA;2166;8-15;M
;VERTICAL DIMEMSION;;;1B;VERTICAL DIMENSION, BASE REF POINT TO FLIGHT LEVEL;BRFL;2167;;
;VERTICAL DIMEMSION;;;1C;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;RAFL;2168;;
;VERTICAL DIMEMSION;;;1D;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;RARA;2169;;
;VERTICAL DIMEMSION;;;1E;VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;FLFL;2099;;
