FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ASUW CAPABILITY;;;1A;WARFARE DISCIPLINE CAPABILITY;;1114/5;1-2;M
2;SUBMARINE ASUW READINESS;;;2A;SUBMARINE WARFARE READINESS;;1230/2;1-1;C
3;SUBMARINE ASUW CREW CAPABILITY;;;3A;CREW PROFICIENCY;;1806/2;1-1;C
4;ASUW ENABLERS;;;4A;SUBMARINE ASUW ENABLER;;1114/6;1-4;C*
