FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RADIUS OF ZONE 1;;;1A;RADIUS OF ZONE 1;;1523/2;3-3;O
2;DOWNWIND DIRECTION;;;2A;DOWNWIND DIRECTION IN DEGREES;;1043/2;3-4;C
;DOWNWIND DIRECTION;;;2B;DOWNWIND DIRECTION IN MILS;;1048/4;;
3;WIND SPEED;;;3A;WIND SPEED;;1525/2;3-3;C
4;ANGLE EXPANSION INDICATOR;;;4A;ANGLE EXPANSION INDICATOR;;1330/1;1-1;C
