FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DELIVERY UNIT IDENTIFIER;;;1A;DELIVERY UNIT IDENTIFIER;;1028/42;1-24;M
2;INTELLIGENCE PRODUCT TYPE;;;2A;INTELLIGENCE PRODUCT TYPE;;1834/1;1-30;M
3;SCALE OF PRINTS;;;3A;SCALE OF PRINTS;;1079/4;1-7;M
4;NUMBER OF PRODUCTS;;;4A;NUMBER OF PRODUCTS;;1044/328;1-2;M*
5;TYPE OF IMAGERY/MAPPING;;;5A;TYPE OF IMAGERY MAPPING;;1677/8;3-9;M*
