Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
1037;42;FIELD;LINETYPE;ORGIDBDY;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Limite;MPIA.StructureOrganisee{MPIA.RacineOperationnelle};EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.StructureOrganisee}#MPIA.RacineOperationnelle.Nom
1038;42;FIELD;LINETYPE;ORGIDBDY;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;_;_;_
1039;42;FIELD;LINETYPE;ORGIDBDY;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Limite;MPIA.EntitePolitique;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.StructureOrganisee}#EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
1040;42;FIELD;LINETYPE;ORGIDBDY;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A' ;_;_;_
480;42;FIELD;LINETYPE;ORGIDBDY;5;;1045/007;M-1;1..6;BOUNDARY UNIT LEVEL INDICATOR;MPIA.Limite;MPIA.Limite;MPIA.Limite.Niveau
481;42;FIELD;LINETYPE;ORGIDBDY;6;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Limite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
482;42;FIELD;LINETYPE;ORGIDBDY;7;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Niveau
483;42;FIELD;LINETYPE;ORGIDBDY;8;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Limite;MPIA.EntitePolitique;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
484;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Categorie
1081;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.CategorieArme
1082;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SpecialisationArme
1083;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SecondeSpecialisationArme
