Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
71;10;FIELD;ORGID;ORGID;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
72;11;SET;ORGID;CMDREL;;;;O-1;;COMMAND RELATIONSHIP TYPE;NON_TRACE;NON_TRACE;NON_TRACE
73;12;SEGMENT
Niveau 3;ORGIDSUB;;;;;M-N;;;;;
74;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;;;
75;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;_;_;_
76;12;FIELD;ORGIDSUB;ORGIDSUB;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
77;12;FIELD;ORGIDSUB;ORGIDSUB;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Niveau
78;12;FIELD;ORGIDSUB;ORGIDSUB;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
79;12;FIELD;ORGIDSUB;ORGIDSUB;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Categorie
80;12;FIELD;ORGIDSUB;ORGIDSUB;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.CategorieArme
81;12;FIELD;ORGIDSUB;ORGIDSUB;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SpecialisationArme
82;12;FIELD;ORGIDSUB;ORGIDSUB;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SecondeSpecialisationArme
83;12;FIELD;ORGIDSUB;ORGIDSUB;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.MobiliteGenerale
84;12;FIELD;ORGIDSUB;ORGIDSUB;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.QualificatifArme
85;12;FIELD;ORGIDSUB;ORGIDSUB;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;MPIA.Unite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
1267;12;FIELD;ORGIDSUB;ORGIDSUB;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
86;12;FIELD;ORGIDSUB;ORGIDSUB;9A;;1107/001;M-1;1..1;ARMED SERVICE;MPIA.Unite;MPIA.TypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeOrganisationGouvernementale.Armee
87;12;FIELD;ORGIDSUB;ORGIDSUB;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;_;_;_
88;12;COMP. FIELD;ORGIDSUB;ORGIDSUB;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
89;12;FIELD;ORGIDSUB;ORGIDSUB;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
90;12;FIELD;ORGIDSUB;ORGIDSUB;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
91;12;FIELD;ORGIDSUB;ORGIDSUB;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
92;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;_;_;_
1268;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;_;_;_
93;12;FIELD;ORGIDSUB;ORGIDSUB;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
94;12;FIELD;ORGIDSUB;ORGIDSUB;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeRegroupementForce;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeRegroupementForce.Categorie
95;12;FIELD;ORGIDSUB;ORGIDSUB;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
96;12;FIELD;ORGIDSUB;ORGIDSUB;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
97;12;FIELD;ORGIDSUB;ORGIDSUB;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
98;12;FIELD;ORGIDSUB;ORGIDSUB;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
99;12;FIELD;ORGIDSUB;ORGIDSUB;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
100;12;FIELD;ORGIDSUB;ORGIDSUB;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;MPIA.Unite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
101;12;FIELD;ORGIDSUB;ORGIDSUB;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
102;12;FIELD;ORGIDSUB;ORGIDSUB;9A;;1107/001;M-1;1..1;ARMED SERVICE;MPIA.Unite;MPIA.TypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeOrganisationGouvernementale.Armee
103;12;FIELD;ORGIDSUB;ORGIDSUB;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;_;_;_
104;12;COMP. FIELD;ORGIDSUB;ORGIDSUB;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
105;12;FIELD;ORGIDSUB;ORGIDSUB;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
106;12;FIELD;ORGIDSUB;ORGIDSUB;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
107;12;FIELD;ORGIDSUB;ORGIDSUB;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
108;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;_;_;_
1269;12;SET;ORGIDSUB;ORGIDSUB;;;;M-1;;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT;_;_;_
109;12;FIELD;ORGIDSUB;ORGIDSUB;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
110;12;FIELD;ORGIDSUB;ORGIDSUB;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;_;_;_
111;12;FIELD;ORGIDSUB;ORGIDSUB;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.StructureOrganisee;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
112;12;FIELD;ORGIDSUB;ORGIDSUB;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
113;12;FIELD;ORGIDSUB;ORGIDSUB;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
114;12;FIELD;ORGIDSUB;ORGIDSUB;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
115;12;FIELD;ORGIDSUB;ORGIDSUB;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
116;12;FIELD;ORGIDSUB;ORGIDSUB;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;_;_;_
117;12;FIELD;ORGIDSUB;ORGIDSUB;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
118;12;FIELD;ORGIDSUB;ORGIDSUB;9A;;1107/001;M-1;1..1;ARMED SERVICE;_;_;_
119;12;FIELD;ORGIDSUB;ORGIDSUB;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;MPIA.StructureOrganisee;MPIA.AutreTypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.AutreTypeOrganisationGouvernementale.SousCategorie
120;12;COMP. FIELD;ORGIDSUB;ORGIDSUB;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
121;12;FIELD;ORGIDSUB;ORGIDSUB;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
122;12;FIELD;ORGIDSUB;ORGIDSUB;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
123;12;FIELD;ORGIDSUB;ORGIDSUB;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
124;13;SET;ORGIDSUB;CMDREL;;;;M-1;;COMMAND RELATIONSHIP TYPE;;;
125;13;FIELD;ORGIDSUB;CMDREL;1;;1130/034;M-1;3..3;COMMAND RELATIONSHIP QUALIFIER;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.Confirmation
126;13;FIELD;ORGIDSUB;CMDREL;2;;1660/002;M-1;1..5;COMMAND RELATIONSHIP TYPE;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.EntiteOrganisationnelle;APourSujet{MPIA.Unite}
127;13;FIELD;ORGIDSUB;CMDREL;2;;1660/002;M-1;1..5;COMMAND RELATIONSHIP TYPE;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.EntiteOrganisationnelle;APourObjet{MPIA.Unite}
128;13;FIELD;ORGIDSUB;CMDREL;2;;1660/002;M-1;1..5;COMMAND RELATIONSHIP TYPE;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.ArticulationTerre{MPIA.ArticulationTerre};EstReferenceeDans{MPIA.ArticulationTerre}#MPIA.ArticulationTerre.TypeODB
128;13;FIELD;ORGIDSUB;CMDREL;2;;1660/002;M-1;1..5;COMMAND RELATIONSHIP TYPE;MPIA.AssociationInstanceObjetInstanceObjet;MPGT.PrelevementSubordonneIdentifie{MPGT.PrelevementDetachement};EstReferenceeDans{MPIA.ArticulationTerre}#ACommePrelevement{MPGT.PrelevementSubordonneIdentifie}#ACommeLienVersBeneficiaire
129;14;SET;ORGIDSUB;TIME;;;;M-1;;TIME;;;A_TIME_SUBORD
130;14;REPET. GROUP;;;-;;;-;;;_;_;_
131;14;FIELD;ORGIDSUB;TIME;1;;1220/001;M-1;2..7;TIME QUALIFIER;NON_TRACE;NON_TRACE;NON_TRACE
132;14;COMP. FIELD;ORGIDSUB;TIME;2;;;M-1;;DATE-TIME INDICATOR;_;_;_
133;14;COMP. FIELD;ORGIDSUB;TIME;2A;;2323/001;M-1;14..14;DTG, ZULU, 4-DIGIT YEAR;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateDebut
134;14;COMP. FIELD;ORGIDSUB;TIME;2B;;2030/001;M-1;10..10;DAY-TIME AND MONTH;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateDebut
135;14;COMP. FIELD;ORGIDSUB;TIME;2C;;2067/001;M-1;5..5;DAY-MONTH NAME;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateDebut
136;14;FIELD;ORGIDSUB;TIME;2D;;1258/001;M-1;1..2;REFERENCE TIME INDICATOR;NON_TRACE;NON_TRACE;NON_TRACE
137;14;COMP. FIELD;ORGIDSUB;TIME;2E;;2055/001;M-1;8..13;ADJUSTED REFERENCE TIME;NON_TRACE;NON_TRACE;NON_TRACE
1000;14;SET;ORGIDSUB;TIME;;;;M-1;;TIME;;;A_TIME_SUBORD
1001;14;REPET. GROUP;;;-;;;-;;;_;_;_
1002;14;FIELD;ORGIDSUB;TIME;1;;1220/001;M-1;2..7;TIME QUALIFIER;NON_TRACE;NON_TRACE;NON_TRACE
1003;14;COMP. FIELD;ORGIDSUB;TIME;2;;;M-1;;DATE-TIME INDICATOR;_;_;_
1004;14;COMP. FIELD;ORGIDSUB;TIME;2A;;2323/001;M-1;14..14;DTG, ZULU, 4-DIGIT YEAR;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateFin
1005;14;COMP. FIELD;ORGIDSUB;TIME;2B;;2030/001;M-1;10..10;DAY-TIME AND MONTH;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateFin
1006;14;COMP. FIELD;ORGIDSUB;TIME;2C;;2067/001;M-1;5..5;DAY-MONTH NAME;MPIA.AssociationInstanceObjetInstanceObjet;MPIA.Rapport;EstRapporteePar{MPIA.Rapport}#MPIA.Rapport.DateFin
1007;14;FIELD;ORGIDSUB;TIME;2D;;1258/001;M-1;1..2;REFERENCE TIME INDICATOR;NON_TRACE;NON_TRACE;NON_TRACE
1008;14;COMP. FIELD;ORGIDSUB;TIME;2E;;2055/001;M-1;8..13;ADJUSTED REFERENCE TIME;NON_TRACE;NON_TRACE;NON_TRACE
138;15;SET
Niveau 1;;GENTEXT;;;;O-1;;COMMANDERS ASSESSMENT;;;
139;15;FIELD;;GENTEXT;1;;1009/001;M-1;1..61;TEXT INDICATOR;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_1_COMMANDERS ASSESSMENT
140;15;FIELD;;GENTEXT;2;;1006/001;M-1;1..99;FREE TEXT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_1_COMMANDERS ASSESSMENT
141;;;;;;;;;;;;;
142;16;SEGMENT
Niveau 1;PARTTITL;;;;;O-N;;"OWN FORCES PRESENCE REPORT";;;
143;16;SET;PARTTITL;PARTTITL;;;;M-1;;MESSAGE PART AND TITLE;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_2
144;17;SEGMENT
Niveau 2;ORGID;;;;;M-N;;ORGANIZATION DESIGNATOR;;;
145;17;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
146;17;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
147;17;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Niveau
148;17;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
149;17;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Categorie
150;17;FIELD;ORGID;ORGID;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.CategorieArme
151;17;FIELD;ORGID;ORGID;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SpecialisationArme
152;17;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.SecondeSpecialisationArme
153;17;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.MobiliteGenerale
154;17;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.QualificatifArme
155;17;FIELD;ORGID;ORGID;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;MPIA.Unite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
156;17;FIELD;ORGID;ORGID;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
157;17;FIELD;ORGID;ORGID;9A;;1107/001;M-1;1..1;ARMED SERVICE;MPIA.Unite;MPIA.TypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeOrganisationGouvernementale.Armee
158;17;FIELD;ORGID;ORGID;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;_;_;_
159;17;COMP. FIELD;ORGID;ORGID;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
160;17;FIELD;ORGID;ORGID;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
161;17;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
162;17;FIELD;ORGID;ORGID;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
163;17;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
164;17;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
165;17;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeRegroupementForce;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeRegroupementForce.Categorie
166;17;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
167;17;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
168;17;FIELD;ORGID;ORGID;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
169;17;FIELD;ORGID;ORGID;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
170;17;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
171;17;FIELD;ORGID;ORGID;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;MPIA.Unite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
172;17;FIELD;ORGID;ORGID;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
173;17;FIELD;ORGID;ORGID;9A;;1107/001;M-1;1..1;ARMED SERVICE;MPIA.Unite;MPIA.TypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeOrganisationGouvernementale.Armee
174;17;FIELD;ORGID;ORGID;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;_;_;_
175;17;COMP. FIELD;ORGID;ORGID;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
176;17;FIELD;ORGID;ORGID;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
177;17;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
178;17;FIELD;ORGID;ORGID;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
179;17;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
180;17;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
181;17;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;_;_;_
182;17;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.StructureOrganisee;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
183;17;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
184;17;FIELD;ORGID;ORGID;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
185;17;FIELD;ORGID;ORGID;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
186;17;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
187;17;FIELD;ORGID;ORGID;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;_;_;_
188;17;FIELD;ORGID;ORGID;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
189;17;FIELD;ORGID;ORGID;9A;;1107/001;M-1;1..1;ARMED SERVICE;_;_;_
190;17;FIELD;ORGID;ORGID;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;MPIA.StructureOrganisee;MPIA.AutreTypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.AutreTypeOrganisationGouvernementale.SousCategorie
191;17;COMP. FIELD;ORGID;ORGID;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
192;17;FIELD;ORGID;ORGID;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
193;17;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
