;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;[ [ [ [ [;;C;ASACSDAT;60;/M /M /M /M /O /O /O /O //;AIR SURVEILLANCE AND CONTROL DATA
;[ [ [ [ [;;O;7CONTROL;61;/M /M /M /M /M /M /O //;CONTROL INFORMATION
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;[ [ [;;C;GENTEXT;62;/M /M //;GENERAL TEXT
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;C;HEADING;63;/M //;HEADING INFORMATION
;;*;O;NAVFLTOP;64;/M /M /M /*O //;NAVAL FLIGHT OPERATIONS TIMES
;O;;[M];FYFCE;65;/M /*M /*M //;FRIENDLY FORCES
;[;;O;AAXIS;66;/M /M /M /M /O /O //;ANTI-AIR WARFARE AXIS INFORMATION
;[ M;;[M];FYLOC;67;/M /M /M /M /O /O /O //;FRIENDLY FORCES LOCATION
;[ [;;O;CODES;68;/*M /*M /*M //;CODES, CRYPTO AND AUTHENTICATION
;[ [;;O;IFF;69;/M /*M //;IFF OR SIF SETTING
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;O;;[M];AOTRP;70;/M /M /O /O /O //;AIR OPERATIONS TIMING REFERENCE POINT
;[;;O;7AOFDAT;71;/M /M /M /O /O //;AIR OPERATIONS TIMING REFERENCE POINT (TRP) FLOW DATA
;;;;;;;END OF SEGMENT
;;;C;HEADING;72;/M //;HEADING INFORMATION
;;;O;GENTEXT;73;/M /M //;GENERAL TEXT
;;;O;GENTEXT;74;/M /M //;GENERAL TEXT
;;;O;GENTEXT;75;/M /M //;GENERAL TEXT
;;;O;GENTEXT;76;/M /M //;GENERAL TEXT
;;;O;GENTEXT;77;/M /M //;GENERAL TEXT
;;;O;GENTEXT;78;/M /M //;GENERAL TEXT
;;;O;GENTEXT;79;/M /M //;GENERAL TEXT
;;;O;GENTEXT;80;/M /M //;GENERAL TEXT
;;;O;GENTEXT;81;/M /M //;GENERAL TEXT
;;;O;GENTEXT;82;/M /M //;GENERAL TEXT
;;;O;GENTEXT;83;/M /M //;GENERAL TEXT
;;;O;GENTEXT;84;/M /M //;GENERAL TEXT
;;;O;GENTEXT;85;/M /M //;GENERAL TEXT
;;;O;GENTEXT;86;/M /M //;GENERAL TEXT
;;;O;GENTEXT;87;/M /M //;GENERAL TEXT
;;;O;DECL;88;/M /C /*O /*O /*C //;MESSAGE DOWNGRADING OR DECLASSIFICATION DATA
