STRUCTURE;2-3;N;1;A;1-4;NS;1;S;1;A;1-4;NS
FFIRN;1012/184;1053/010;1089/002;1025/002;1053/010;1089/003
FIELD USE DESIGNATOR;Q-ROUTE NUMBER;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM START POINT;HYPHEN;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM FINISH POINT
