STRUCTURE;1-3;N;1;A;1-3;N;1;A;1-2;N;2;A;1;N
FFIRN;1023/005;1025/007;1023/005;1025/007;1023/034;1008/082;1023/013
FIELD USE DESIGNATOR;CONTEXT QUANTITY, 0-999;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-999;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-99;UNITS OF LINEAR MEASUREMENT, NAUTICAL MILES;CONTEXT QUANTITY, 0-9
