STRUCTURE;1;A;1;S;1-2;N;1;S;1;N
FFIRN;1246/005;1025/002;1012/019;1025/002;1012/020
FIELD USE DESIGNATOR;ACP 176, NATO SUPPLEMENT 1C APPENDIX IDENTIFIER;HYPHEN;ACP 176 NATO SUPP 1C SHIP-SHORE TABLE NUMBER;HYPHEN;SHIP-SHORE LINE NUMBER
