STRUCTURE;2;A;2;N;2;N;2;N;2;N
FFIRN;1032/001;1033/001;1035/001;1034/001;1035/001
FIELD USE DESIGNATOR;ONE DEGREE QUADRILATERAL, GEOREF;MINUTE EASTING, GEOREF;CENTIMINUTE (ANGULAR);MINUTE NORTHING, GEOREF;CENTIMINUTE (ANGULAR)
