STRUCTURE;3;N;1;S;1-12;X;1;S;1-3;N
FFIRN;1439/001;1025/002;1022/089;1025/002;1089/006
FIELD USE DESIGNATOR;DIRECTION IN DEGREES, TRUE;HYPHEN;REFERENCE NAME;HYPHEN;DISTANCE IN NAUTICAL MILES (0-999)
