STRUCTURE;3;N;1;A;1;N;1;S;1-2;N;3;A;1;N
FFIRN;1043/010;1024/001;1023/013;1025/002;1023/034;1008/005;1023/013
FIELD USE DESIGNATOR;COURSE IN DEGREES;ANGULAR MEASUREMENT REFERENCE;CONTEXT QUANTITY, 0-9;HYPHEN;CONTEXT QUANTITY, 0-99;UNIT OF SPEED/VELOCITY MEASUREMENT;CONTEXT QUANTITY, 0-9
