STRUCTURE;3-8;A;1;B;3-8;A;1;B;3-8;A
FFIRN;1128/007;1025/004;1128/007;1025/004;1128/007
FIELD USE DESIGNATOR;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER;BLANK/SPACE CHARACTER;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER;BLANK/SPACE CHARACTER;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER
