STRUCTURE;3;A;1;S;3;A;1;A;1;S;2;N;1;S;3;A
FFIRN;1182/001;1025/002;1182/001;1113/006;1025/002;1012/021;1025/002;1182/001
FIELD USE DESIGNATOR;PORT CODE;HYPHEN;PORT CODE;CONVOY SPEED CLASSIFICATION;HYPHEN;CONVOY SERIAL NUMBER;HYPHEN;PORT CODE
