STRUCTURE;2;N;2;N;2;N;1;S;1;N;1;A;1;S;3;N;2;N;2;N;1;S;1;N
FFIRN;1039/001;1041/002;1042/002;1025/003;1215/002;1030/002;1025/002;1040/001;1041/003;1042/003;1025/003;1215/003
FIELD USE DESIGNATOR;LATITUDE, DEGREES;LATITUDE MINUTE (ANGULAR);LATITUDE SECOND (ANGULAR);DECIMAL POINT;TENTH OF SECOND OF LATITUDE;LATITUDINAL HEMISPHERE;HYPHEN;LONGITUDE, DEGREES;LONGITUDE MINUTE (ANGULAR);LONGITUDE SECOND (ANGULAR);DECIMAL POINT;TENTH OF SECOND OF LONGITUDE
