FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NETWORK PARTICIPATION GROUP NAME; ; ;CURRENT / CURRENT;1022/186;3-7;AB
2 M;(NU) NETWORK PARTICIPATION GROUP NUMBER; ; ;CURRENT / CURRENT;1012/149;1-3;N
* 3 M;(NU) NET NUMBER; ; ;CURRENT / CURRENT;1012/169;1-3;N
* 4 M;(NU) NET USAGE/FUNCTION; ; ;CURRENT / CURRENT;1874/009;1-30;X
