FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FIRST SELECTED FUZE; ; ;CURRENT / CURRENT;1192/004;2-3;A
2 O;(NU) SECOND SELECTED FUZE; ; ;CURRENT / CURRENT;1192/005;2-3;A
