FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT DESIGNATION OF HIGHER ECHELON; ; ;CURRENT / CURRENT;1028/027;1-35;X
2 M;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ; ;CURRENT / CURRENT;2087/001;11;AN
