FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) TRACK QUALITY DELTA TIME IN SECONDS; ; ;CURRENT / CURRENT;1073/012;1-2;N
2 C;(NU) TRACK QUALITY LOST TRACK SUBTRACTION PARAMETER; ; ;CURRENT / CURRENT;1593/013;1-2;N
