FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) MAXIMUM RATE OF FIRE; ; ;CURRENT / CURRENT;1368/002;4;NS
2 O;(NU) SUSTAINED RATE OF FIRE; ; ;CURRENT / CURRENT;1368/003;4;NS
