FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF ANALOGUE CHANNELS; ; ;CURRENT / CURRENT;1044/279;1-2;N
2 O;(NU) NUMBER OF DIGITAL CHANNELS; ; ;CURRENT / CURRENT;1044/278;1-2;N
