FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RIGHT BANK BEARING PRESSURE IN NEWTONS PER METRE SQUARED; ; ;CURRENT / CURRENT;1087/004;3;N
2 M;(NU) LEFT BANK BEARING PRESSURE IN NEWTONS PER METRE SQUARED; ; ;CURRENT / CURRENT;1087/007;3;N
