FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) PYROTECHNICS TYPE; ; ;CURRENT / CURRENT;1407/044;1-68;X
* 2 M;(NU) CONTEXT QUANTITY, 1-999; ; ;CURRENT / CURRENT;1023/003;1-3;N
